id,symptoms,disease,possible_medication,cure,severity
1,"fever, cough, fatigue","Common Cold","Paracetamol, Cough Syrup","Rest, Hydration",Low
2,"headache, nausea, vomiting",Migraine,"Ibuprofen, Sumatriptan","Pain relievers, Avoid triggers",Moderate
3,"fever, rash, joint pain",Dengue,"Acetaminophen, IV Fluids","Hydration, Bed rest",Low
4,"sore throat, fever, headache","Strep Throat","Amoxicillin, Penicillin",Antibiotics,Low
5,"abdominal pain, diarrhea, nausea","Food Poisoning","Oral Rehydration Solutions, Antibiotics","Hydration, Antibiotics",High
6,"shortness of breath, cough, fever",Pneumonia,"Antibiotics, Oxygen therapy","Antibiotics, Hospitalization if severe",Moderate
7,"sneezing, runny nose, itchy eyes","Allergic Rhinitis","Antihistamines, Nasal Spray","Avoid allergens, Medication",High
8,"abdominal pain, bloating, constipation","Irritable Bowel Syndrome","Fiber supplements, Laxatives","Diet modification, Stress management",Moderate
9,"frequent urination, thirst, fatigue","Diabetes Type 2","Insulin, Metformin","Lifestyle changes, Medication",Low
10,"joint pain, swelling, stiffness","Rheumatoid Arthritis","NSAIDs, Methotrexate","Medication, Physical therapy",High
11,"chest pain, shortness of breath",Angina,"Nitroglycerin, Beta-blockers","Lifestyle changes, Medication",Moderate
12,"fever, chills, cough",Flu,"Oseltamivir, Acetaminophen","Rest, Fluids",Low
13,"painful urination, pelvic pain","Urinary Tract Infection",Antibiotics,"Antibiotics, Hydration",Low
14,"weakness, dizziness, fainting",Anemia,"Iron supplements, Vitamin B12","Dietary changes, Supplements",High
15,"weight loss, persistent cough",Tuberculosis,"Isoniazid, Rifampin","Long-term antibiotics",Moderate
16,"sudden numbness, confusion, trouble speaking",Stroke,"Clot-busting drugs, Aspirin","Emergency medical treatment",Low
17,"fever, yellow skin, dark urine","Hepatitis B","Antiviral medications","Vaccination, Liver care",Low
18,"persistent cough, shortness of breath",Asthma,"Inhalers, Steroids","Inhaler usage, Avoid triggers",High
19,"nausea, vomiting, jaundice","Liver Cirrhosis","Diuretics, Liver transplant","Alcohol cessation, Medication",Moderate
20,"rash, joint pain, fever",Chikungunya,"Pain relievers, Fluid replacement","Rest, Hydration",Low
21,"chest pain, fatigue, swelling","Congestive Heart Failure","Diuretics, ACE inhibitors","Lifestyle changes, Medication",Low
22,"dizziness, headache, blurred vision",Hypertension,"ACE inhibitors, Beta-blockers","Lifestyle changes, Medication",High
23,"abdominal pain, weight loss, blood in stool","Colorectal Cancer","Chemotherapy, Surgery","Surgery, Radiation therapy",Moderate
24,"pain in the lower abdomen, fever",Appendicitis,"Surgical removal of appendix",Appendectomy,Low
25,"nausea, vomiting, weight loss","Stomach Ulcer","Antacids, Proton pump inhibitors","Avoid triggers, Medication",Low
26,"joint pain, fatigue, fever",Lupus,"NSAIDs, Immunosuppressants","Medication, Regular monitoring",High
27,"fever, sore throat, swollen lymph nodes",Mononucleosis,"Rest, Fluids","Rest, Avoid contact sports",Moderate
28,"fever, headache, stiff neck",Meningitis,"Antibiotics, Steroids","Hospitalization, Medication",Low
29,"rash, itching, fever",Chickenpox,"Antihistamines, Calamine lotion","Rest, Antivirals if severe",Low
30,"pain, redness, swelling in one joint",Gout,"NSAIDs, Colchicine","Avoid alcohol, Medication",High
31,"fever, muscle pain, nausea",Malaria,"Chloroquine, Artemisinin","Antimalarial drugs, Hospitalization if severe",Moderate
32,"painful urination, genital sores","Genital Herpes","Acyclovir, Famciclovir","Antiviral medication",Low
33,"cough, weight loss, night sweats",HIV/AIDS,"Antiretroviral drugs","Antiretroviral therapy, Lifestyle support",Low
34,"high fever, chills, jaundice","Yellow Fever","Pain relievers, Fluids","Vaccination, Supportive care",High
35,"frequent urination, fatigue, blurry vision","Diabetic Retinopathy","Laser therapy, Anti-VEGF injections","Blood sugar control, Eye care",Moderate
36,"dry cough, weight loss, chest pain","Lung Cancer","Chemotherapy, Radiation","Surgery, Targeted therapy",Low
37,"fever, sore throat, dry cough",COVID-19,"Remdesivir, Dexamethasone","Self-isolation, Supportive care",Low
38,"pain, fatigue, difficulty moving joints",Osteoarthritis,"NSAIDs, Corticosteroid injections","Physical therapy, Joint replacement",High
39,"frequent coughing, shortness of breath","Chronic Bronchitis","Bronchodilators, Steroids","Quit smoking, Medication",Moderate
40,"fever, malaise, skin sores",Leprosy,Antibiotics,"Long-term antibiotics",Low
41,"fever, rash, muscle pain","Zika Virus","Pain relievers, Rest","Hydration, Rest",Low
42,"difficulty swallowing, hoarseness, cough","Esophageal Cancer","Chemotherapy, Radiation","Surgery, Targeted therapy",High
43,"abdominal bloating, frequent urination","Ovarian Cancer","Chemotherapy, Surgery","Surgery, Radiation therapy",Moderate
44,"frequent headaches, dizziness, memory loss","Alzheimer’s Disease","Donepezil, Rivastigmine","Medication, Supportive care",Low
45,"muscle pain, fatigue, fever",Influenza,"Antivirals, Bed rest","Fluids, Medication",Low
46,"pain in the neck, arm weakness, numbness","Cervical Disc Herniation","NSAIDs, Physical therapy","Surgery if severe",High
